lead_id,organization_name,website_url,canonical_domain,city,country,team_size_label,owner_name,owner_role,contact_channel,contact_url,status,priority,screening_unknowns,source_ids,notes
mb-lead-014,Social Know How Inc.,https://socialknowhow.com,socialknowhow.com,Vaughan,Canada,2-9,Elio Gatto,CEO & Founder,BOOKING_PAGE,https://socialknowhow.com/contact,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0061;mb-src-0062;mb-src-0063;mb-src-0064;mb-src-0065,"Vaughan boutique agency led by Elio Gatto delivering monthly social media management retainers, static graphics, carousels, and publishing across SMB brand clients."
mb-lead-015,Bee Social Marketing,https://beesocialmarketing.co.uk,beesocialmarketing.co.uk,Leeds,United Kingdom,2-9,John Michael Ranby,Director & Co-Owner,BOOKING_PAGE,https://beesocialmarketing.co.uk/contact,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0066;mb-src-0067;mb-src-0068;mb-src-0069,"Leeds-based boutique agency led by John and Evelyn Ranby providing bespoke graphics, copywriting, post scheduling, and organic social management for multiple brand clients."
mb-lead-016,Validus Media,https://validusmedia.com,validusmedia.com,Leeds,United Kingdom,2-9,Andrew Lee Heppinstall,Managing Director & Founder,BOOKING_PAGE,https://validusmedia.com/contact,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0070;mb-src-0071;mb-src-0072;mb-src-0073;mb-src-0074,"Leeds-based boutique agency led by Andrew Heppinstall providing organic social media marketing, content creation, and monthly editorial plans across multiple brand accounts."
mb-lead-017,Pure Bold,https://purebold.com.au,purebold.com.au,Chadstone,Australia,2-10,Tina Robertson,CEO & Founder,BOOKING_PAGE,https://purebold.com.au/contact,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0075;mb-src-0076;mb-src-0077;mb-src-0078;mb-src-0079,"Melbourne-area boutique agency led by Tina and Bevan Robertson providing organic social media management, graphic design, and content creation across multiple SMB brands."
mb-lead-018,MCD Creative,https://mcdcreative.com.au,mcdcreative.com.au,Melbourne,Australia,2-9,Courtney Day,Founder & Director,CONTACT_FORM,https://mcdcreative.com.au/contact,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0080;mb-src-0081;mb-src-0082;mb-src-0083;mb-src-0084,"Melbourne boutique creative agency led by Courtney Day providing recurring organic social media management, custom feed graphics, and multi-brand SMB content."
mb-lead-019,Mulberry Marketing,https://www.mulberrymarketing.com.au,mulberrymarketing.com.au,Richmond,Australia,2-9,Stephanie Waters,Founder & Director,CONTACT_FORM,https://www.mulberrymarketing.com.au/contact,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0085;mb-src-0086;mb-src-0087;mb-src-0088;mb-src-0089,"Melbourne agency led by Stephanie Waters delivering monthly content calendars, branded graphic design, and organic social retainers across diverse consumer brands."
mb-lead-020,UMAI Marketing,https://umaimarketing.com,umaimarketing.com,Austin,United States,8,Alison Smith,Co-Founder & Creative Director,CONTACT_FORM,https://umai.typeform.com/to/J28VwR,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0090;mb-src-0091;mb-src-0092;mb-src-0093;mb-src-0094,"Austin-based boutique creative agency co-founded by Alison Smith and Karin Samelson providing organic social media management, brand design, and content creation for CPG brands."
mb-lead-021,The Social Agency,https://thesocialagency.ca,thesocialagency.ca,Port Moody,Canada,2-9,Kirstin Wakaluk,Founding Director & Principal,CONTACT_FORM,https://thesocialagency.ca/contact,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0095;mb-src-0096;mb-src-0097;mb-src-0098;mb-src-0099,"Vancouver-area boutique social media agency founded by Kirstin Wakaluk offering recurring organic social retainers, custom graphics, and multi-channel content for SMB brands."
mb-lead-022,The Meaningful Social Club,https://meaningfulsocialclub.com,meaningfulsocialclub.com,Melbourne,Australia,4,Natalie Lasance,Founder & Creative Director,CONTACT_FORM,https://meaningfulsocialclub.com/contact,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0100;mb-src-0101;mb-src-0102;mb-src-0103,"Melbourne boutique social media agency led by Natalie Lasance providing purposeful organic social media management, visual content design, and copywriting across multiple lifestyle and consumer brands."
mb-lead-023,The Social Studio & Co,https://www.thesocialstudio.com.au,thesocialstudio.com.au,Sydney,Australia,3,Esther Patrick,Founder & Director,CONTACT_FORM,https://www.thesocialstudio.com.au/enquire,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0104;mb-src-0105;mb-src-0106;mb-src-0107,"Sydney-based boutique social media agency led by Esther Patrick providing bespoke graphics, carousel design, monthly content plans, and organic social retainers for SMB brands."
mb-lead-024,Sapiens,https://www.sapiens.nz,sapiens.nz,Auckland,New Zealand,8,Marcus Logan,Founder & Managing Director,CONTACT_FORM,https://www.sapiens.nz/lets-talk,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0108;mb-src-0109;mb-src-0110;mb-src-0111,"Auckland-based boutique creative agency led by Marcus Logan providing recurring social media management, carousel design, and multi-channel publishing for commercial and community brands."
mb-lead-025,Secret Media Co.,https://www.secretmediaco.com,secretmediaco.com,Concord,Canada,2-10,Liraz Jacoby,Founder & CEO,CONTACT_FORM,https://www.secretmediaco.com/contact,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0112;mb-src-0113;mb-src-0114;mb-src-0115,"Toronto-area boutique agency founded by Liraz Jacoby offering monthly organic social retainers, custom graphics, and multi-channel content for indie and consumer brands."
mb-lead-026,Launch Kit,https://www.launchkitdesign.com,launchkitdesign.com,Grand Rapids,United States,2-9,Kevin Kamis,Owner,BOOKING_PAGE,https://www.launchkitdesign.com/build-your-free-marketing-plan,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0116;mb-src-0117;mb-src-0118;mb-src-0119;mb-src-0120,"Grand Rapids boutique agency founded and owned by Kevin Kamis, offering recurring monthly social retainers with 25 photos and static graphics for regional small businesses."
mb-lead-027,Scott Social,https://www.scottsocialmarketing.com,scottsocialmarketing.com,Phoenix,United States,2-9,Chelsea Evans-Flower,Founder & CEO,CONTACT_FORM,https://www.scottsocialmarketing.com/contact,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0121;mb-src-0122;mb-src-0123;mb-src-0124,"Phoenix-based boutique social media agency led by Chelsea Evans-Flower with a team of 9 providing recurring monthly static graphics, stories, reels, and community management for lifestyle and SMB brands."
mb-lead-028,Spark Social Agency,https://www.sparksocialagency.com,sparksocialagency.com,Vaughan,Canada,2-12,Kait Shiels,Founder & Managing Director,CONTACT_FORM,https://www.sparksocialagency.com/contact,QUALIFIED_FOR_SCREENING,A,BUDGET_AUTHORITY;CURRENT_TOOL_STACK;RECURRING_REVISION_PAIN;WILLINGNESS_TO_PAY,mb-src-0125;mb-src-0126;mb-src-0127;mb-src-0128,"Vaughan/Toronto-based boutique social media agency founded by Kait Shiels with 12 team members offering monthly retainers from ,940/mo including static posts, reels, and stories for growth and consumer brands."
